name,address,phone,website,type,degrees,campus_setting,campus_housing,student_population,student_teacher_ratio
Strayer University-Virginia Beach Campus,"Strayer University-Virginia Beach Campus249 Central Park Avenue Ste 350, Virginia Beach, Virginia 23462",(877) 445-7180,www.strayer.edu/campus-locations/virginia/virginia-beach,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,City: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Strayer University-Woodbridge Campus,"Strayer University-Woodbridge Campus13385 Minnieville Rd, Woodbridge, Virginia 22192",(877) 445-7180,www.strayer.edu/campus-locations/virginia/woodbridge,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Large,No,Strayer University-Virginia (Parent):Strayer University-Alexandria CampusStrayer University-Chesapeake CampusStrayer University-Chesterfield CampusStrayer University-Fredericksburg CampusStrayer University-Henrico CampusStrayer University-Loudoun CampusStrayer University-Manassas CampusStrayer University-Newport News CampusStrayer University-Virginia Beach CampusStrayer University-Woodbridge Campus,
Sweet Briar College,"Sweet Briar College134 Chapel Drive, Sweet Briar, Virginia 24595-9998",(434) 381-6100,www.sbc.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,Suburb: Midsize,Yes,362 (356 undergraduate),8 to 1
The Art Institute of Virginia Beach,"The Art Institute of Virginia BeachTwo Columbus Center, 4500 Main St Ste 100, Virginia Beach, Virginia 23462",(757) 493-6700,www.artinstitutes.edu/virginia-beach/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degree,City: Large,No,223 (all undergraduate),20 to 1
The University of Virginia's College at Wise,"The University of Virginia's College at Wise1 College Avenue, Wise, Virginia 24293-4400",(276) 328-0100,www.uvawise.edu/,"4-year, Public",Bachelor's degree,Town: Distant,Yes,"1,905 (all undergraduate)",11 to 1
Union Presbyterian Seminary,"Union Presbyterian Seminary3401 Brook Rd, Richmond, Virginia 23227",(804) 355-0671,www.upsem.edu/,"4-year, Private not-for-profit",Master's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,169 (0 undergraduate),This is the parent institution of:Union Presbyterian Seminary-Charlotte
University of Lynchburg,"University of Lynchburg1501 Lakeside Dr, Lynchburg, Virginia 24501-3113",(434) 544-8100,www.lynchburg.edu/,"4-year, Private not-for-profit",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"2,692 (1,822 undergraduate)",10 to 1
University of Management and Technology,"University of Management and Technology1901 Fort Myer Drive, Suite 700, Arlington, Virginia 22209-1609",(703) 516-0035,www.umtweb.edu/,"4-year, Private for-profit",Less than one year certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,City: Midsize,No,295 (193 undergraduate),9 to 1
University of Mary Washington,"University of Mary Washington1301 College Ave, Fredericksburg, Virginia 22401-5300",(540) 654-1000,www.umw.edu/,"4-year, Public",Less than one year certificateBachelor's degreePostbaccalaureate certificateMaster's degree,Suburb: Midsize,Yes,"4,293 (3,993 undergraduate)",13 to 1
University of Richmond,"University of Richmond410 Westhampton Way, University of Richmond, Virginia 23173",(804) 289-8000,www.richmond.edu/,"4-year, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - professional practice,City: Midsize,Yes,"4,056 (3,323 undergraduate)",8 to 1
University of the Potomac-VA Campus,"University of the Potomac-VA Campus7799 LEESBURG PIKE, FALLS CHURCH, Virginia 22043-2536",(202) 521-1290,www.potomac.edu/,"4-year, Private for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degree,Suburb: Large,No,197 (48 undergraduate),11 to 1
University of Virginia-Main Campus,"University of Virginia-Main Campus1827 University Avenue, Charlottesville, Virginia 22903-2628",(434) 924-0311,www.virginia.edu/,"4-year, Public",Less than one year certificateOne but less than two years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Small,Yes,"25,628 (17,310 undergraduate)",15 to 1
Virginia Beach Theological Seminary,"Virginia Beach Theological Seminary2221 Centerville Turnpike, Virginia Beach, Virginia 23464-6847",(757) 479-3706,www.vbts.edu/,"4-year, Private not-for-profit",One but less than two years certificateMaster's degreeDoctor's degree - professional practice,City: Large,No,35 (0 undergraduate),
Virginia Commonwealth University,"Virginia Commonwealth University910 W Franklin St, Richmond, Virginia 23284-2512",(804) 828-0100,www.vcu.edu/,"4-year, Public",Two but less than 4 years certificateBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Midsize,Yes,"29,070 (21,943 undergraduate)",18 to 1
Virginia Military Institute,"Virginia Military InstituteVMI Parade, Lexington, Virginia 24450-0304",(540) 464-7207,www.vmi.edu/,"4-year, Public",Bachelor's degree,Town: Distant,Yes,"1,698 (all undergraduate)",11 to 1
Virginia Polytechnic Institute and State University,"Virginia Polytechnic Institute and State University210 Burruss Hall, 800 Drillfield Dr., Blacksburg, Virginia 24061-0131",(540) 231-6994,www.vt.edu/,"4-year, Public",Associate's degreeBachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,City: Small,Yes,"37,024 (30,020 undergraduate)",14 to 1
Virginia State University,"Virginia State University1 Hayden Drive, Petersburg, Virginia 23806",(804) 524-5000,www.vsu.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarship,Suburb: Large,Yes,"4,020 (3,659 undergraduate)",12 to 1
Virginia Union University,"Virginia Union University1500 N Lombardy St, Richmond, Virginia 23220",(804) 257-5600,www.vuu.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degreeDoctor's degree,City: Midsize,Yes,"1,516 (1,209 undergraduate)",21 to 1
Virginia University of Integrative Medicine,"Virginia University of Integrative Medicine9401 Mathy Drive Ste 100, Fairfax, Virginia 22031-5310",(703) 323-5690,www.vuim.edu/,"4-year, Private not-for-profit",Postbaccalaureate certificateMaster's degreeDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Large,No,362 (0 undergraduate),
Virginia University of Lynchburg,"Virginia University of Lynchburg2058 Garfield Ave, Lynchburg, Virginia 24501",(434) 528-5276 x1145,www.vul.edu/,"4-year, primarily associate's, Private not-for-profit",One but less than two years certificateAssociate's degreeBachelor's degreeMaster's degreeDoctor's degree,City: Small,Yes,244 (122 undergraduate),14 to 1
Virginia Wesleyan University,"Virginia Wesleyan University5817 Wesleyan Drive, Virginia Beach, Virginia 23455",(757) 455-3200,www.vwu.edu/,"4-year, Private not-for-profit",Bachelor's degreeMaster's degree,City: Large,Yes,"1,347 (1,274 undergraduate)",12 to 1
Washington and Lee University,"Washington and Lee University204 West Washington Street, Lexington, Virginia 24450-2116",(540) 458-8400,www.wlu.edu/,"4-year, Private not-for-profit",Bachelor's degreeDoctor's degree - professional practice,Town: Distant,Yes,"2,183 (1,822 undergraduate)",8 to 1
William & Mary,"William & Mary200 Richmond Road, Williamsburg, Virginia 23187-8795",(757) 221-4000,www.wm.edu/,"4-year, Public",Bachelor's degreePostbaccalaureate certificateMaster's degreePost-master's certificateDoctor's degree - research/scholarshipDoctor's degree - professional practice,Suburb: Small,Yes,"8,939 (6,236 undergraduate)",11 to 1
